ts,reconstruction_error,anomaly
2023-03-10 00:00:56,0.37832946,0
2023-03-10 00:00:57,0.3666792,0
2023-03-10 00:00:58,0.3575794,0
2023-03-10 00:00:59,0.36929587,0
2023-03-10 00:01:00,0.35106337,0
2023-03-10 00:01:01,0.34935635,0
2023-03-10 00:01:02,0.35418084,0
2023-03-10 00:01:03,0.35354963,0
2023-03-10 00:01:04,0.35846263,0
2023-03-10 00:01:05,0.35946783,0
2023-03-10 00:01:06,0.36309358,0
2023-03-10 00:01:07,0.36392248,0
2023-03-10 00:01:08,0.36537948,0
2023-03-10 00:01:09,0.37073216,0
2023-03-10 00:01:10,0.3851698,0
2023-03-10 00:01:11,0.36135608,0
2023-03-10 00:01:12,0.3827607,0
2023-03-10 00:01:13,0.40888625,0
2023-03-10 00:01:14,0.38034627,0
2023-03-10 00:01:15,0.383902,0
2023-03-10 00:01:16,0.38349387,0
2023-03-10 00:01:17,0.37101296,0
2023-03-10 00:01:18,0.35506493,0
2023-03-10 00:01:19,0.3429483,0
2023-03-10 00:01:20,0.32706124,0
2023-03-10 00:01:21,0.31381056,0
2023-03-10 00:01:22,0.32674262,0
2023-03-10 00:01:23,0.33187315,0
2023-03-10 00:01:24,0.33376047,0
2023-03-10 00:01:25,0.31333405,0
2023-03-10 00:01:26,0.33595386,0
2023-03-10 00:01:27,0.3313925,0
2023-03-10 00:01:28,0.3442183,0
2023-03-10 00:01:29,0.34493276,0
2023-03-10 00:01:30,0.33512518,0
2023-03-10 00:01:31,0.33866417,0
2023-03-10 00:01:32,0.34014648,0
2023-03-10 00:01:33,0.3146854,0
2023-03-10 00:01:34,0.35574833,0
2023-03-10 00:01:35,0.37138212,0
2023-03-10 00:01:36,0.37157184,0
2023-03-10 00:01:37,0.33988795,0
2023-03-10 00:01:38,0.35357028,0
2023-03-10 00:01:39,0.37171477,0
2023-03-10 00:01:40,0.32655805,0
2023-03-10 00:01:41,0.3063622,0
2023-03-10 00:01:42,0.3038727,0
2023-03-10 00:01:43,0.31311667,0
2023-03-10 00:01:44,0.32456052,0
2023-03-10 00:01:45,0.31739345,0
2023-03-10 00:01:46,0.310049,0
2023-03-10 00:01:47,0.31355703,0
2023-03-10 00:01:48,0.31655407,0
2023-03-10 00:01:49,0.29947847,0
2023-03-10 00:01:50,0.31616694,0
2023-03-10 00:01:51,0.29656646,0
2023-03-10 00:01:52,0.29632702,0
2023-03-10 00:01:53,0.30913562,0
2023-03-10 00:01:54,0.30149963,0
2023-03-10 00:01:55,0.43511802,0
2023-03-10 00:01:56,0.32631433,0
2023-03-10 00:01:57,0.2951335,0
2023-03-10 00:01:58,0.9378269,0
2023-03-10 00:01:59,0.85876304,0
2023-03-10 00:02:00,0.65272045,0
2023-03-10 00:02:01,2.2538955,1
